name_length,is_organic,is_sugar_free,quantity_value,quantity_unit_encoded,category_depth,country_count,product_age_days,created_year,created_month,main_category_encoded,nova_group
9,0,0,1.0,27,2,2,2520,2018,4,244,3.28450954283178
1,0,0,200.0,14,5,12,3874,2015,3,396,3.28450954283178
2,0,0,350.0,14,7,15,3832,2015,4,392,4.0
1,0,0,42.0,14,4,1,2604,2017,12,459,4.0
1,0,0,110.0,14,7,1,3114,2017,3,159,3.28450954283178
1,0,0,1.0,29,2,1,1237,2022,5,159,1.0
1,0,0,330.0,42,8,11,3354,2016,8,51,4.0
1,0,0,110.0,14,7,1,3547,2016,2,418,4.0
1,0,0,200.0,14,10,13,4630,2013,2,13,4.0
1,0,0,1.0,29,3,1,3601,2015,9,67,1.0
2,0,0,33.0,7,5,2,2495,2018,12,67,3.28450954283178
1,0,0,150.0,14,7,5,3034,2016,12,459,4.0
3,0,0,500.0,14,5,1,2805,2018,2,68,1.0
2,0,0,1.0,27,5,1,1207,2022,4,159,3.0
3,0,0,400.0,14,8,1,799,2023,7,159,2.0
1,0,0,5.0,33,7,1,2820,2018,1,67,1.0
3,0,0,50.0,7,7,1,3272,2016,9,67,3.28450954283178
5,1,0,90.0,14,6,4,2331,2019,2,459,3.0
2,0,0,160.0,14,1,1,827,2023,7,104,4.0
2,0,0,500.0,14,6,1,1626,2020,12,459,3.28450954283178
2,0,0,45.0,14,10,3,2594,2018,9,68,3.28450954283178
2,0,0,165.0,14,15,1,2776,2018,3,53,4.0
1,0,0,1.0,29,5,1,2988,2017,8,67,1.0
2,0,0,50.0,7,3,1,2398,2019,1,67,1.0
3,0,0,350.0,14,1,1,633,2023,3,450,4.0
2,0,0,330.0,42,10,11,3473,2016,4,45,4.0
5,0,0,42.0,14,6,1,2503,2018,4,459,4.0
4,0,0,1.0,29,11,22,3866,2015,3,180,4.0
3,0,0,50.0,7,4,1,2401,2018,8,67,1.0
1,0,0,200.0,68,5,15,3907,2015,2,18,1.0
4,0,0,1.0,29,12,4,2541,2018,9,53,3.0
3,0,0,1.0,29,6,1,2728,2018,5,418,1.0
4,0,0,250.0,14,9,3,2593,2018,3,400,4.0
3,0,0,200.0,14,7,14,4162,2014,6,56,1.0
7,0,0,304.0,14,2,8,2463,2019,1,57,4.0
3,0,0,275.0,14,6,5,3757,2015,7,16,3.0
5,0,0,100.0,14,8,11,3436,2016,5,417,3.0
2,0,0,1920.0,66,13,1,2591,2018,9,18,4.0
5,0,0,50.0,7,3,1,3222,2016,8,134,2.0
1,0,0,80.0,14,12,1,1740,2021,1,159,3.28450954283178
1,0,0,250.0,14,7,3,825,2023,3,394,4.0
6,0,0,360.0,14,7,1,1493,2021,8,84,4.0
1,0,0,430.0,14,6,3,3682,2015,1,400,3.0
4,0,0,150.0,14,11,4,4538,2013,4,400,3.0
2,0,0,90.0,14,7,4,2286,2019,7,459,3.0
3,0,0,1.0,29,11,7,2575,2018,4,54,1.0
3,0,0,125.0,14,8,1,2520,2018,5,415,3.0
5,0,0,100.0,14,6,10,3311,2016,5,459,3.0
2,0,0,250.0,14,10,8,3076,2017,4,18,4.0
1,0,0,350.0,14,1,1,391,2024,2,245,3.28450954283178
2,0,0,33.0,7,13,1,2379,2019,1,53,3.28450954283178
1,0,0,125.0,44,7,1,2891,2017,11,415,3.0
3,0,0,225.0,14,9,3,4575,2013,4,459,4.0
5,0,0,430.0,14,10,1,2817,2017,11,18,4.0
4,0,0,100.0,14,7,8,4848,2012,7,459,4.0
3,0,0,5.0,29,5,1,2157,2019,3,68,3.28450954283178
1,0,0,90.0,42,4,1,2154,2019,11,134,3.28450954283178
4,0,0,350.0,14,13,6,3781,2015,3,18,1.0
2,0,0,1.0,29,3,1,2542,2018,2,67,3.28450954283178
3,0,0,500.0,42,6,2,2700,2018,4,418,1.0
8,1,0,130.0,14,7,2,3228,2016,12,400,3.0
3,0,0,850.0,14,11,3,1610,2021,4,159,3.0
1,0,0,185.0,42,5,1,2482,2018,4,134,3.28450954283178
2,0,0,200.0,14,8,1,2570,2018,10,18,1.0
9,0,0,500.0,14,1,1,2362,2019,3,387,4.0
1,0,0,500.0,14,6,2,2119,2019,11,231,2.0
6,0,0,450.0,14,6,3,1478,2021,9,400,3.0
2,0,0,650.0,14,5,1,900,2023,3,394,4.0
1,0,0,230.0,14,12,7,3672,2015,9,400,3.0
5,0,0,425.0,14,7,1,2314,2019,5,400,4.0
7,0,0,550.0,14,8,3,3446,2016,4,400,4.0
1,0,0,85.0,14,5,1,2548,2018,2,459,4.0
2,0,0,11.0,44,9,1,2669,2018,6,18,3.0
3,0,0,190.0,14,6,11,4870,2012,6,134,4.0
4,0,0,450.0,14,10,13,3006,2017,5,400,4.0
2,0,0,36.0,14,5,1,1941,2019,12,459,4.0
1,0,0,150.0,42,5,1,2081,2020,1,134,3.28450954283178
1,0,0,400.0,14,6,5,539,2024,2,84,4.0
2,0,0,800.0,42,6,2,4050,2014,8,134,3.0
2,0,0,1.0,29,14,1,2518,2018,12,53,4.0
1,0,0,100.0,14,5,16,4845,2012,7,337,4.0
2,0,0,33.0,7,8,1,2565,2018,3,72,1.0
2,0,0,75.0,14,3,1,2405,2019,3,474,2.0
1,0,0,825.0,14,8,1,4566,2013,4,183,4.0
1,0,0,36.0,14,1,1,223,2024,10,302,4.0
3,0,0,110.0,14,11,1,3850,2015,4,423,3.28450954283178
2,0,0,400.0,14,14,1,815,2023,6,400,4.0
4,0,0,450.0,14,8,5,2533,2018,9,53,4.0
6,0,0,430.0,14,9,2,2652,2018,1,18,4.0
1,0,0,500.0,14,8,3,2843,2018,1,517,4.0
3,0,0,1.0,29,11,6,4991,2012,2,51,1.0
2,0,0,100.0,14,6,19,4850,2012,7,337,3.0
1,0,0,95.0,14,1,3,2344,2019,3,93,3.28450954283178
1,0,0,630.0,14,12,10,2021,2020,4,84,4.0
2,0,0,1.0,29,7,25,4875,2012,6,399,4.0
6,0,0,250.0,14,10,1,4656,2012,11,400,4.0
3,0,0,150.0,14,12,2,3145,2017,2,400,3.0
2,0,0,165.0,14,9,2,2610,2018,9,159,3.28450954283178
2,0,0,52.0,44,9,1,1509,2021,2,459,4.0
2,0,0,110.0,14,7,1,2757,2018,3,418,3.0
2,0,0,1.0,29,10,1,1914,2020,3,68,4.0
2,0,0,1.0,27,8,1,2033,2020,2,159,1.0
3,0,0,110.0,14,9,1,2737,2018,4,418,3.0
3,0,0,250.0,14,6,2,4569,2013,4,400,3.0
5,0,0,160.0,14,6,6,1867,2020,7,400,3.0
1,0,0,80.0,44,11,2,1787,2020,12,418,3.28450954283178
2,0,0,330.0,42,9,12,4879,2012,6,305,4.0
3,0,0,500.0,42,9,15,4580,2013,4,180,4.0
1,0,0,500.0,14,6,1,1178,2022,3,400,3.0
8,0,0,325.0,14,5,2,733,2023,8,394,4.0
4,0,0,230.0,14,6,9,4477,2013,7,459,4.0
4,0,0,250.0,14,12,4,4006,2014,11,159,2.0
2,0,0,860.0,14,7,5,3454,2016,4,18,3.0
3,0,0,450.0,14,9,1,2616,2018,4,67,3.28450954283178
1,0,0,500.0,14,12,6,3906,2015,2,10,1.0
4,1,0,88.0,14,13,2,2907,2017,9,400,3.0
3,0,0,1.0,44,3,1,1330,2021,4,159,1.0
5,0,0,500.0,14,7,2,1284,2022,1,84,3.28450954283178
1,0,0,20.0,14,3,3,2269,2019,3,459,4.0
5,0,0,100.0,14,7,19,4852,2012,7,337,3.0
3,0,0,500.0,14,1,1,2225,2019,6,200,3.28450954283178
4,0,0,500.0,42,6,1,2409,2019,3,418,3.28450954283178
3,0,0,125.0,14,6,7,4796,2012,7,459,4.0
2,0,0,500.0,14,10,7,3877,2015,2,400,1.0
2,0,0,280.0,14,7,2,2593,2018,9,400,3.0
1,0,0,750.0,14,8,18,4149,2014,6,459,4.0
4,0,0,1.5,29,5,1,2735,2018,4,68,1.0
4,0,0,900.0,42,7,1,2673,2017,11,418,1.0
2,0,0,200.0,14,8,1,3004,2017,6,418,3.0
3,0,0,250.0,44,3,2,2486,2018,8,465,4.0
2,0,0,250.0,19,5,8,4566,2013,4,134,3.0
2,0,0,175.0,14,3,1,2068,2020,2,459,4.0
4,0,0,42.0,14,7,9,1722,2020,12,18,4.0
1,0,0,450.0,14,8,7,4398,2013,10,84,4.0
1,0,0,0.5,29,2,1,1104,2022,1,358,3.28450954283178
3,0,0,110.0,14,8,1,2914,2017,11,159,4.0
3,0,0,210.0,14,7,7,4405,2013,9,459,4.0
3,0,0,150.0,14,4,1,4568,2013,4,134,1.0
2,0,0,500.0,14,10,2,4585,2013,2,400,4.0
1,0,0,1.0,29,10,12,3851,2015,4,45,4.0
3,0,0,500.0,14,7,5,3580,2015,12,56,4.0
4,0,0,500.0,14,9,2,4505,2013,6,400,4.0
3,0,0,50.0,14,8,14,4398,2013,10,459,3.0
2,0,0,800.0,14,6,3,2826,2017,12,400,4.0
5,0,0,135.0,14,10,3,2995,2017,7,415,3.0
1,0,0,1.5,29,7,23,4326,2013,12,180,4.0
8,0,0,1.0,29,7,2,2564,2018,9,18,4.0
2,0,0,205.0,14,8,5,3777,2015,5,459,4.0
2,0,0,60.0,14,7,1,1607,2021,3,459,4.0
3,0,0,1.0,29,6,1,3869,2014,12,68,1.0
1,0,0,500.0,14,7,1,407,2024,3,84,3.28450954283178
1,0,0,500.0,14,7,2,2433,2018,6,84,3.28450954283178
4,0,0,350.0,14,5,5,3877,2015,2,459,4.0
1,0,0,600.0,14,7,6,3133,2017,2,84,4.0
3,0,0,100.0,14,11,11,4768,2012,9,459,4.0
2,0,0,700.0,14,6,2,3822,2014,11,134,3.0
3,0,0,500.0,14,4,1,2764,2018,2,134,4.0
6,0,0,5.0,44,6,2,3368,2016,5,400,3.0
2,0,0,450.0,42,7,6,2621,2018,8,51,4.0
7,1,0,350.0,14,12,2,2483,2018,10,52,1.0
2,0,0,100.0,14,8,5,4589,2013,3,68,4.0
4,0,0,400.0,14,8,1,3134,2017,1,459,4.0
4,0,0,500.0,42,6,1,2512,2018,9,159,4.0
3,0,0,200.0,14,9,1,2166,2019,8,418,3.28450954283178
1,0,0,165.0,14,8,2,1296,2022,4,159,4.0
5,0,0,200.0,14,8,10,2075,2020,2,361,4.0
4,0,0,500.0,14,7,1,1050,2022,7,53,1.0
6,0,0,415.0,14,13,2,4883,2012,6,510,4.0
2,0,0,0.7,29,5,4,4825,2012,7,53,1.0
2,0,0,460.0,14,6,3,4025,2014,9,134,3.0
2,0,0,404.0,14,5,4,3770,2015,6,134,4.0
3,0,0,500.0,14,5,1,1128,2022,4,459,3.28450954283178
3,0,0,500.0,14,3,8,757,2023,9,322,3.28450954283178
7,0,0,450.0,14,9,2,903,2022,7,400,4.0
2,0,0,200.0,14,6,10,4837,2012,7,134,4.0
2,0,0,350.0,14,6,6,4801,2012,7,18,1.0
5,0,0,100.0,14,6,8,2624,2018,8,459,4.0
4,0,0,200.0,14,12,7,3186,2017,1,400,3.0
4,0,0,200.0,14,9,2,3053,2017,6,418,3.0
1,0,0,750.0,42,4,3,3700,2015,9,133,4.0
1,0,0,350.0,14,1,1,2017,2019,12,432,4.0
2,0,0,500.0,14,10,1,2632,2018,8,418,4.0
3,0,0,500.0,14,9,11,3481,2016,3,18,4.0
3,0,0,350.0,14,1,1,3130,2017,3,49,1.0
8,0,0,430.0,14,8,12,3815,2015,5,400,3.0
3,0,0,1000.0,42,16,13,1694,2021,1,53,4.0
3,0,0,50.0,14,9,3,1256,2022,2,159,1.0
2,0,0,500.0,14,7,1,2394,2018,8,18,4.0
2,0,0,684.0,14,8,2,1937,2020,6,18,3.0
6,0,0,1.0,44,7,1,1344,2021,6,400,3.0
1,0,0,500.0,14,2,1,813,2023,4,418,1.0
6,0,0,100.0,14,7,9,2713,2018,5,459,4.0
3,0,0,500.0,14,5,3,3223,2016,10,459,4.0
3,0,0,560.0,14,4,1,2366,2019,4,134,4.0
4,0,0,500.0,14,6,1,1795,2020,7,159,3.28450954283178
1,0,0,500.0,14,7,1,0,2024,3,84,3.28450954283178
5,0,0,230.0,14,11,1,1852,2020,9,18,4.0
4,0,0,165.0,14,6,14,3989,2014,11,427,4.0
4,0,0,500.0,14,3,1,2572,2018,6,134,3.28450954283178
4,0,0,375.0,14,9,12,4087,2014,6,400,3.0
1,0,0,390.0,14,9,3,1819,2020,9,53,4.0
2,0,0,200.0,42,4,9,4762,2012,7,134,4.0
2,0,0,500.0,14,2,1,3405,2016,5,5,4.0
3,0,0,454.0,14,9,2,1248,2022,4,400,1.0
5,0,0,250.0,14,5,7,4211,2014,4,504,2.0
3,0,0,450.0,14,6,1,3878,2015,2,18,4.0
1,0,0,750.0,14,7,5,3472,2016,4,161,4.0
5,0,0,80.0,14,2,1,2361,2019,3,280,4.0
4,0,0,100.0,14,5,1,893,2022,8,459,4.0
8,0,0,750.0,14,7,1,2634,2018,7,18,4.0
3,0,0,500.0,14,1,1,2041,2020,2,83,3.0
2,0,0,400.0,14,8,9,4862,2012,5,400,4.0
2,0,0,200.0,14,10,7,3406,2016,6,459,4.0
3,0,0,950.0,14,9,1,2613,2018,8,400,4.0
4,0,0,370.0,14,7,2,2837,2017,4,18,3.0
1,0,0,110.0,14,3,1,931,2023,3,134,4.0
3,0,0,250.0,44,5,6,3933,2014,11,18,4.0
4,0,0,43.0,14,9,18,4409,2013,10,337,4.0
6,0,0,750.0,14,10,9,3835,2015,3,18,1.0
1,0,0,100.0,14,8,1,2345,2018,9,68,3.28450954283178
3,0,0,340.0,14,7,3,3901,2014,12,84,2.0
5,0,0,33.0,7,7,1,2014,2019,6,67,1.0
3,0,0,100.0,14,6,1,600,2024,1,459,4.0
8,0,0,450.0,14,10,2,3783,2015,5,159,1.0
1,0,0,500.0,14,10,1,2103,2019,11,400,3.0
2,0,0,400.0,14,9,1,2007,2020,1,400,4.0
2,0,0,165.0,14,9,19,4113,2014,7,401,4.0
2,0,0,450.0,14,9,1,729,2023,10,400,4.0
1,0,0,270.0,14,11,4,3660,2015,9,400,3.0
3,0,0,100.0,19,8,4,4250,2014,2,159,1.0
5,0,0,85.0,14,6,1,2586,2018,1,459,4.0
2,0,0,260.0,14,7,3,2636,2018,4,68,4.0
1,0,0,7.35,19,5,5,4736,2012,11,402,4.0
2,0,0,270.0,14,10,2,4052,2014,7,459,4.0
4,0,0,775.0,14,4,2,3189,2017,1,134,3.0
1,0,0,500.0,14,1,1,561,2024,3,497,4.0
1,0,0,180.0,14,1,1,1779,2019,11,324,3.0
2,0,0,300.0,14,6,2,1280,2022,1,53,4.0
3,0,0,130.0,14,7,1,3056,2017,4,459,4.0
3,0,0,285.0,14,6,4,1746,2021,1,459,4.0
3,0,0,320.0,14,5,1,1209,2022,7,400,3.0
6,1,0,88.0,14,6,2,2394,2018,7,169,4.0
2,0,0,370.0,14,12,4,3918,2014,8,400,4.0
1,0,0,16.0,54,5,2,2962,2016,12,159,4.0
1,0,0,360.0,14,5,4,989,2023,2,459,4.0
3,0,0,1.0,27,11,2,3392,2016,5,400,1.0
3,0,0,1.0,29,15,4,2669,2018,6,305,4.0
10,0,0,500.0,14,13,1,2232,2019,9,459,4.0
8,0,0,360.0,14,4,4,886,2022,11,134,3.0
3,0,0,454.0,14,11,2,3345,2016,4,400,3.0
1,0,0,1.0,29,5,1,2712,2018,5,418,3.28450954283178
4,0,0,160.0,14,11,2,2369,2019,3,400,4.0
6,0,0,500.0,14,6,1,1815,2020,9,400,3.0
2,0,0,200.0,14,8,5,3857,2015,2,400,1.0
14,0,0,180.0,14,8,1,3061,2017,2,502,3.0
5,0,0,380.0,14,6,2,2090,2019,3,400,3.28450954283178
3,0,0,80.0,14,6,1,2075,2019,8,400,3.28450954283178
6,0,0,500.0,14,7,2,3317,2016,3,459,3.0
5,0,0,5.0,29,6,3,1276,2018,10,52,1.0
5,0,0,454.0,14,9,3,2279,2019,3,18,3.0
1,0,0,50.0,14,8,23,4150,2014,1,337,4.0
2,0,0,75.0,7,10,1,2548,2018,4,72,1.0
4,0,0,500.0,14,9,6,3721,2015,8,18,4.0
1,0,0,6.0,44,3,3,3091,2017,2,203,4.0
1,0,0,192.0,14,11,2,2016,2020,4,459,4.0
3,0,0,100.0,14,6,2,1079,2022,10,400,1.0
1,0,0,150.0,42,4,13,4747,2012,10,456,3.0
4,0,0,350.0,14,8,4,2501,2018,11,75,4.0
4,0,0,175.0,14,6,8,2072,2020,2,459,4.0
1,0,0,500.0,14,1,1,354,2024,3,181,4.0
2,0,0,33.0,7,3,1,2285,2018,8,134,4.0
3,0,0,500.0,14,11,21,4577,2013,4,56,1.0
1,0,0,500.0,14,3,1,523,2023,12,147,3.28450954283178
7,0,0,1.0,29,11,11,3980,2014,11,400,4.0
4,0,0,830.0,14,11,1,2288,2019,6,18,3.0
2,0,0,500.0,14,10,1,3046,2017,5,400,4.0
3,0,0,225.0,14,13,2,2372,2019,3,400,4.0
1,0,0,500.0,14,7,2,814,2022,8,180,3.28450954283178
1,0,0,500.0,14,2,1,2629,2018,8,90,4.0
4,0,0,85.0,14,1,2,2417,2019,3,262,3.28450954283178
3,0,0,250.0,14,12,3,3226,2016,12,400,4.0
2,0,0,110.0,14,9,2,2498,2018,4,418,3.28450954283178
4,0,0,210.0,14,4,1,3287,2016,9,459,4.0
3,0,0,250.0,42,11,4,4365,2013,4,67,4.0
3,0,0,500.0,42,9,5,2229,2019,8,53,3.0
1,0,0,1.0,28,8,1,2595,2018,1,459,3.28450954283178
5,0,0,450.0,14,1,1,1136,2021,9,79,3.0
3,0,0,230.0,14,6,8,4565,2013,3,459,4.0
3,0,0,0.0,27,8,11,3872,2015,3,18,4.0
4,0,0,350.0,14,8,4,2632,2018,6,400,4.0
5,0,0,375.0,14,9,8,4391,2013,9,400,3.0
1,0,0,125.0,14,5,15,4551,2013,5,312,4.0
1,0,0,1.0,29,13,7,3920,2015,1,53,4.0
3,0,0,8.0,51,7,1,1087,2022,8,159,4.0
13,0,0,210.0,14,5,1,3276,2016,9,459,4.0
3,0,0,500.0,14,4,1,1581,2020,12,400,4.0
3,0,0,250.0,14,14,1,1530,2021,6,18,1.0
5,0,0,130.0,14,5,3,4547,2013,3,459,4.0
3,0,0,500.0,14,9,1,1406,2020,10,400,4.0
2,0,0,500.0,14,4,1,1339,2022,2,418,4.0
4,0,0,450.0,14,8,3,1330,2022,3,159,1.0
5,0,0,430.0,14,1,2,1077,2022,9,362,3.0
3,1,0,450.0,14,9,1,999,2022,10,159,1.0
2,0,0,500.0,14,11,11,4839,2012,6,400,3.0
3,0,0,100.0,14,5,1,387,2024,1,459,3.0
4,0,0,800.0,14,7,2,2787,2018,2,400,4.0
7,0,0,435.0,14,9,9,2776,2018,3,459,4.0
3,0,0,280.0,14,12,4,4049,2014,9,459,4.0
3,0,0,300.0,14,6,4,4803,2012,6,400,4.0
3,0,0,400.0,14,7,4,3013,2017,5,459,4.0
3,0,0,200.0,14,5,6,2659,2018,5,459,4.0
2,0,0,500.0,42,6,1,2501,2018,6,400,3.28450954283178
2,0,0,1.0,29,12,8,2805,2018,1,305,3.0
3,0,0,1.5,29,3,4,2497,2018,10,175,1.0
9,0,0,750.0,14,8,9,3484,2016,3,394,4.0
5,0,0,100.0,19,6,10,3107,2017,3,459,3.0
5,0,0,255.0,14,3,1,3294,2016,9,123,1.0
4,0,0,2.0,29,11,4,2300,2019,5,53,4.0
2,0,0,500.0,14,9,1,1446,2021,1,53,4.0
5,0,0,165.0,14,12,9,1385,2022,1,13,4.0
2,0,0,500.0,14,1,2,2577,2018,9,205,3.28450954283178
4,0,0,485.0,14,10,1,2014,2020,2,18,4.0
1,0,0,500.0,14,4,1,1430,2021,11,53,3.28450954283178
1,0,0,500.0,14,10,1,518,2023,6,400,4.0
3,0,0,400.0,14,7,3,2321,2019,5,84,4.0
2,0,0,400.0,14,4,1,1812,2020,6,400,3.0
3,0,0,105.0,44,8,1,480,2024,3,159,4.0
3,0,0,580.0,14,4,8,4504,2013,5,134,3.0
1,0,0,1.0,29,5,2,1277,2018,12,67,4.0
4,0,0,1.0,29,9,6,2288,2019,7,400,2.0
4,0,0,50.0,44,4,1,2253,2019,7,134,2.0
6,0,0,120.0,44,4,1,524,2024,4,351,4.0
10,0,0,500.0,14,6,1,3778,2015,4,400,4.0
1,0,0,240.0,14,7,4,3342,2016,2,254,3.28450954283178
5,0,0,500.0,14,7,3,3843,2015,2,400,4.0
3,0,0,550.0,14,10,6,3557,2015,12,18,1.0
2,0,0,150.0,14,5,1,2738,2018,2,159,4.0
1,0,0,35.0,14,3,1,2508,2018,11,90,1.0
3,0,0,1.0,29,8,1,1792,2020,10,18,3.0
2,0,0,500.0,14,4,1,2788,2018,1,134,4.0
2,0,0,500.0,14,6,1,1870,2019,10,459,4.0
10,1,0,300.0,14,9,1,2162,2019,11,400,3.0
9,0,0,122.0,14,5,1,1848,2020,9,459,4.0
2,0,0,165.0,14,5,7,1305,2022,3,322,4.0
4,0,0,225.0,14,8,3,4413,2013,9,459,4.0
1,0,0,40.0,14,6,8,3838,2015,4,459,3.28450954283178
1,0,0,200.0,7,6,1,2055,2019,1,400,3.28450954283178
4,0,0,550.0,14,10,6,3691,2015,7,400,4.0
4,0,0,105.0,14,14,2,2472,2018,4,400,3.0
3,0,0,425.0,14,7,2,3758,2015,7,75,4.0
7,0,0,400.0,14,8,7,4236,2014,3,18,2.0
1,0,0,500.0,14,6,1,2284,2018,9,52,3.28450954283178
5,0,0,225.0,14,1,1,2223,2019,7,395,4.0
4,0,0,350.0,14,9,6,3265,2016,7,72,4.0
5,0,0,380.0,14,14,2,2550,2018,10,400,3.0
2,0,0,170.0,14,12,1,2420,2019,2,68,4.0
3,0,0,500.0,14,11,2,2082,2019,10,159,1.0
1,0,0,80.0,14,5,1,2594,2018,9,159,3.28450954283178
1,0,0,240.0,14,9,1,2257,2019,1,18,3.0
3,0,0,250.0,14,8,1,3785,2014,11,159,2.0
3,0,0,280.0,14,11,3,2779,2017,10,400,1.0
2,0,0,345.0,14,4,1,2118,2019,12,134,3.0
3,0,0,400.0,14,9,2,3708,2015,8,400,1.0
2,0,0,100.0,14,6,1,423,2023,9,459,4.0
1,0,0,200.0,14,11,7,4165,2014,5,510,3.0
3,0,0,200.0,14,12,3,4604,2013,3,68,1.0
4,0,0,500.0,14,6,1,2275,2019,6,134,3.0
1,0,0,1.0,29,3,1,2221,2019,9,515,4.0
6,0,0,90.0,14,11,3,4468,2013,4,18,4.0
3,0,0,500.0,14,10,3,2614,2018,1,415,3.0
8,0,0,260.0,14,11,4,4733,2012,10,53,4.0
3,0,0,500.0,14,8,2,2452,2018,4,231,3.28450954283178
5,0,0,180.0,14,8,5,3284,2016,6,459,4.0
3,0,0,560.0,14,10,1,2076,2020,1,400,1.0
1,0,0,90.0,14,8,1,760,2023,9,159,3.28450954283178
2,0,0,500.0,14,11,6,4786,2012,6,52,4.0
4,0,0,450.0,14,4,2,3855,2014,12,134,4.0
3,0,0,120.0,14,5,2,2584,2018,1,400,3.0
10,0,0,500.0,14,8,6,2756,2018,4,18,4.0
7,0,0,500.0,14,2,1,4657,2012,12,389,4.0
7,0,0,105.0,14,14,1,343,2024,3,53,3.28450954283178
2,0,0,110.0,14,8,3,2606,2018,8,159,4.0
1,0,0,400.0,14,9,9,3873,2015,1,337,4.0
1,0,0,0.5,29,2,1,756,2023,6,336,4.0
6,0,0,510.0,14,11,2,3715,2014,12,18,4.0
3,0,0,500.0,14,6,3,3808,2015,5,400,4.0
3,0,0,720.0,14,8,2,1488,2021,4,400,1.0
6,0,0,250.0,14,14,1,1460,2021,8,400,3.0
4,0,0,450.0,14,14,6,3868,2015,2,400,4.0
2,0,0,150.0,14,6,6,2978,2017,8,75,4.0
6,0,0,320.0,14,10,1,865,2023,6,349,4.0
2,0,0,250.0,14,7,3,4434,2013,7,400,4.0
1,0,0,1000.0,14,9,12,4316,2013,12,84,4.0
3,0,0,500.0,14,1,1,1920,2019,11,177,1.0
2,0,0,400.0,14,8,1,688,2023,7,159,4.0
7,0,0,140.0,14,8,6,2570,2018,9,18,4.0
5,0,0,500.0,14,6,1,865,2023,5,400,3.0
1,0,0,22.0,14,11,1,555,2024,3,459,4.0
4,0,0,360.0,14,5,4,3163,2017,1,459,4.0
2,0,0,0.0,29,4,1,3297,2016,7,67,3.28450954283178
5,0,0,360.0,14,7,2,1852,2020,2,400,4.0
2,0,0,48.0,43,8,1,1787,2020,7,400,3.0
4,0,0,135.0,14,17,4,853,2023,6,18,4.0
2,0,0,450.0,14,8,2,717,2023,10,400,4.0
9,0,0,400.0,14,5,2,2840,2017,2,84,4.0
1,0,0,400.0,14,4,9,3128,2017,3,335,4.0
3,0,0,350.0,14,5,4,2694,2018,4,459,4.0
2,0,0,500.0,14,9,4,3690,2015,9,459,4.0
4,0,0,3.0,60,7,5,4559,2013,4,459,4.0
5,0,0,400.0,14,1,5,4042,2014,9,461,4.0
