product_name,brands,categories,ingredients,labels,nutriscore,text,cluster
اكوافينا,pepsi,"Eaux,Eaux de table",,,,"اكوافينا pepsi Eaux,Eaux de table   ",8
Prince Goût Chocolat,Lu,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits,Biscuits au chocolat",,,,"Prince Goût Chocolat Lu Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits,Biscuits au chocolat   ",1
SUPREME DARK 90%,Lindt 90% cacao,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates,Extra fine dark chocolates",,,,"SUPREME DARK 90% Lindt 90% cacao Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates,Extra fine dark chocolates   ",9
Oulmes natural carbonated water,Les eaux minérales d'Oulmès S.A.,"Boissons,Boissons gazeuses,Eaux,Eaux de sources,Eaux minérales,Eaux gazeuses,Eaux minérales naturelles,Eaux minérales gazeuses",,,,"Oulmes natural carbonated water Les eaux minérales d'Oulmès S.A. Boissons,Boissons gazeuses,Eaux,Eaux de sources,Eaux minérales,Eaux gazeuses,Eaux minérales naturelles,Eaux minérales gazeuses   ",8
Nutella,Ferrero,"Petit-déjeuners,Produits à tartiner,Produits à tartiner sucrés,Pâtes à tartiner,Pâtes à tartiner aux noisettes,Pâtes à tartiner au chocolat,Pâtes à tartiner aux noisettes et au cacao",,,,"Nutella Ferrero Petit-déjeuners,Produits à tartiner,Produits à tartiner sucrés,Pâtes à tartiner,Pâtes à tartiner aux noisettes,Pâtes à tartiner au chocolat,Pâtes à tartiner aux noisettes et au cacao   ",7
Orange juice,Coca cola,"Cibi e bevande a base vegetale,Bevande,Bevande a base di piante,Bevande a base di frutta,Succo e nettare,en:Orange-based beverages",,,,"Orange juice Coca cola Cibi e bevande a base vegetale,Bevande,Bevande a base di piante,Bevande a base di frutta,Succo e nettare,en:Orange-based beverages   ",9
Tonik,Bimo,"Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Cereals and their products,Cocoa and its products,Confectioneries,Flours,Biscuits,Cereal flours,Chocolate candies,Sweeteners,Wheat flours,Sugars,fr:Gaufrettes-fourrees-au-cacao",,,,"Tonik Bimo Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Cereals and their products,Cocoa and its products,Confectioneries,Flours,Biscuits,Cereal flours,Chocolate candies,Sweeteners,Wheat flours,Sugars,fr:Gaufrettes-fourrees-au-cacao   ",5
levure pâtisserie,,Baking powder or raising agent,,,,levure pâtisserie  Baking powder or raising agent   ,9
Ain Saiss Eau Minerale Naturelle,Danone,"Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales",,,,"Ain Saiss Eau Minerale Naturelle Danone Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales   ",8
Sésame,Gerblé,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits",,,,"Sésame Gerblé Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits   ",1
Confiture de fraise,Délicia,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Petit-déjeuners,Produits à tartiner,Fruits et produits dérivés,Pâtes à tartiner végétales,Produits à tartiner sucrés,Confitures et marmelades,Confitures,Confitures de fruits rouges,Confitures de fraises",,,,"Confiture de fraise Délicia Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Petit-déjeuners,Produits à tartiner,Fruits et produits dérivés,Pâtes à tartiner végétales,Produits à tartiner sucrés,Confitures et marmelades,Confitures,Confitures de fruits rouges,Confitures de fraises   ",7
Ain Atlas,Eau minérale naturelle des Montagnes d'Atlas,"Boissons,Eaux,Eaux de sources,Eaux minérales",,,,"Ain Atlas Eau minérale naturelle des Montagnes d'Atlas Boissons,Eaux,Eaux de sources,Eaux minérales   ",8
Yaourt nature,Jaouda,"Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Yaourts, Yaourts natures",,,,"Yaourt nature Jaouda Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Yaourts, Yaourts natures   ",3
Ain Atlas,Eau minérale naturelle,"Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales",,,,"Ain Atlas Eau minérale naturelle Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales   ",8
Mayonnaise recette originale,Star,"Condiments,Matières grasses,Sauces,Mayonnaises,en:groceries",,,,"Mayonnaise recette originale Star Condiments,Matières grasses,Sauces,Mayonnaises,en:groceries   ",6
Sourdough White Ciabattin Bread,Jason’s,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,White breads,Sourdough-bread",,,,"Sourdough White Ciabattin Bread Jason’s Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,White breads,Sourdough-bread   ",0
ORIGINAL TASTE,Coca-Cola,"Beverages and beverages preparations,Beverages,Carbonated drinks,Sodas,Non-alcoholic beverages,Colas,Sweetened beverages",,,,"ORIGINAL TASTE Coca-Cola Beverages and beverages preparations,Beverages,Carbonated drinks,Sodas,Non-alcoholic beverages,Colas,Sweetened beverages   ",9
,aïn Saiss,"Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales,Eaux minérales naturelles",,,," aïn Saiss Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales,Eaux minérales naturelles   ",8
Chocolat noir - 85% cacao,J.D. Gross,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates",,,,"Chocolat noir - 85% cacao J.D. Gross Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates   ",9
CRISTALINE Eau De Source 0.5L,Cristaline,"Boissons et préparations de boissons,Boissons,Snacks,Eaux,Eaux de sources",,,,"CRISTALINE Eau De Source 0.5L Cristaline Boissons et préparations de boissons,Boissons,Snacks,Eaux,Eaux de sources   ",8
Nutella,Ferrero,"Petit-déjeuners,Produits à tartiner,Produits à tartiner sucrés,Pâtes à tartiner,Pâtes à tartiner aux noisettes",,,,"Nutella Ferrero Petit-déjeuners,Produits à tartiner,Produits à tartiner sucrés,Pâtes à tartiner,Pâtes à tartiner aux noisettes   ",7
Proper Sourdough,Jason's Sourdough,"Plant-based foods and beverages,Plant-based foods,Breads,Sourdough-bread",,,,"Proper Sourdough Jason's Sourdough Plant-based foods and beverages,Plant-based foods,Breads,Sourdough-bread   ",0
Sourdough Grains & Seeds,Jason's,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Sliced breads,Vegan,Vegetarian",,,,"Sourdough Grains & Seeds Jason's Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Sliced breads,Vegan,Vegetarian   ",0
Cheddar,la Hollandaise,"Dairies, Fermented foods, Fermented milk products, Cheeses, Cow cheeses, Cheeses from the United Kingdom, Cheeses from England, Cheddar cheese, en:cheddar-slices",,,,"Cheddar la Hollandaise Dairies, Fermented foods, Fermented milk products, Cheeses, Cow cheeses, Cheeses from the United Kingdom, Cheeses from England, Cheddar cheese, en:cheddar-slices   ",2
Mandeln,"Alesto,Lidl,Finch","Plant-based foods and beverages, Plant-based foods, Nuts and their products, Nuts, en:almonds",,,,"Mandeln Alesto,Lidl,Finch Plant-based foods and beverages, Plant-based foods, Nuts and their products, Nuts, en:almonds   ",5
Sel de table iodé,Star,"Condiments, Salts, Table salts, Groceries, fr:sels-fins",,,,"Sel de table iodé Star Condiments, Salts, Table salts, Groceries, fr:sels-fins   ",9
Ketchup star 310 g,Star,"en:Condiments, en:Sauces, en:Tomato sauces, en:Ketchup, en:Groceries",,,,"Ketchup star 310 g Star en:Condiments, en:Sauces, en:Tomato sauces, en:Ketchup, en:Groceries   ",6
Cosumar Sucre En Lingot Pour Le Thé 1 kg,COSUMAR,"en:Sweeteners, en:Sugars",,,,"Cosumar Sucre En Lingot Pour Le Thé 1 kg COSUMAR en:Sweeteners, en:Sugars   ",9
Cashewkerne,"Alesto, 12 x Lidl 10.25","Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Nüsse und Nussprodukte,Nüsse,Cashewnüsse",,,,"Cashewkerne Alesto, 12 x Lidl 10.25 Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Nüsse und Nussprodukte,Nüsse,Cashewnüsse   ",9
Nutella 350g,"Ferrero,Nutella","Pequenos alomoços,Produtos para barrar,Doces para barrar,fr:Pâtes à tartiner,Creme para barrar de avelã,Creme para barrar de chocolate,Creme para barrar de avelã e cacau",,,,"Nutella 350g Ferrero,Nutella Pequenos alomoços,Produtos para barrar,Doces para barrar,fr:Pâtes à tartiner,Creme para barrar de avelã,Creme para barrar de chocolate,Creme para barrar de avelã e cacau   ",9
Henry’s,Henry's,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits",,,,"Henry’s Henry's Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits   ",1
Assil,Danone,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts",,,,"Assil Danone Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts   ",2
Salim,Salim,"Dairies,Milks",,,,"Salim Salim Dairies,Milks   ",9
Coca-Cola,Coca-Cola,"Bevande e preparati per bevande,Bevande,Bevande effervescente,Bibite gassate,Bibite gassate senza succo di frutta,Cola,Bibite gassate zuccherate senza succo di frutta,Bevande zuccherate",,,,"Coca-Cola Coca-Cola Bevande e preparati per bevande,Bevande,Bevande effervescente,Bibite gassate,Bibite gassate senza succo di frutta,Cola,Bibite gassate zuccherate senza succo di frutta,Bevande zuccherate   ",9
Cremy,jaouda,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Desserts lactés fermentés,Yaourts",,,,"Cremy jaouda Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Desserts lactés fermentés,Yaourts   ",3
,"Ferrero,Nutella","Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Desayunos,Untables,Untables vegetales,Untables dulces,fr:Pâtes à tartiner,Cremas a base de avellanas,Cremas de chocolate,Cremas de cacao y avellanas",,,," Ferrero,Nutella Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Desayunos,Untables,Untables vegetales,Untables dulces,fr:Pâtes à tartiner,Cremas a base de avellanas,Cremas de chocolate,Cremas de cacao y avellanas   ",9
Ciel,THE COCA-COLA COMPANY,"Boissons,Eaux,Boissons sans alcool",,,,"Ciel THE COCA-COLA COMPANY Boissons,Eaux,Boissons sans alcool   ",8
Ciel 33cl,Ciel,"Boissons, Eaux, Eaux de sources, Eaux minérales, Eaux de table",,,,"Ciel 33cl Ciel Boissons, Eaux, Eaux de sources, Eaux minérales, Eaux de table   ",8
,Maruja,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolates,Compound chocolates,Food",,,," Maruja Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolates,Compound chocolates,Food   ",9
ain saiss 50cl,عين سايس,"Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales",,,,"ain saiss 50cl عين سايس Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales   ",8
Cream cheese,Original,"Dairies, Fermented foods, Fermented milk products, Cheeses, Cream cheeses",,,,"Cream cheese Original Dairies, Fermented foods, Fermented milk products, Cheeses, Cream cheeses   ",2
Spreadable Slightly Salted,Lurpak,"Dairies,Fats,Spreads,Spreadable fats,Animal fats,Dairy spreads,Milkfat,Butters",,,,"Spreadable Slightly Salted Lurpak Dairies,Fats,Spreads,Spreadable fats,Animal fats,Dairy spreads,Milkfat,Butters   ",9
,BAHIA,"boissons, eaux, eaux-de-sources, eaux-minérales, eaux-de-table, fr:boissons, fr:eaux",,,," BAHIA boissons, eaux, eaux-de-sources, eaux-minérales, eaux-de-table, fr:boissons, fr:eaux   ",8
Oulmes Eau Gazeuse,Oulmès,"Boissons,Boissons gazeuses,Eaux,Eaux de sources,Eaux minérales,Eaux gazeuses,Eaux minérales gazeuses",,,,"Oulmes Eau Gazeuse Oulmès Boissons,Boissons gazeuses,Eaux,Eaux de sources,Eaux minérales,Eaux gazeuses,Eaux minérales gazeuses   ",8
Organic 70% Dark Chocolate Bar,Green & Black's,"Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs,Chocolat noir en tablette extra dégustation à 70% de cacao minimum",,,,"Organic 70% Dark Chocolate Bar Green & Black's Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs,Chocolat noir en tablette extra dégustation à 70% de cacao minimum   ",9
jibal jben,jibal,Chees,,,,jibal jben jibal Chees   ,9
KING COOKIES,Excelo,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Drop cookies",,,,"KING COOKIES Excelo Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Drop cookies   ",1
Nescafé Classic,Nestlé,"Boissons et préparations de boissons,Aliments et boissons à base de végétaux,Boissons,Aliments d'origine végétale,Préparations pour boissons,Cafés,Boissons instantanées,Café Arabica,Cafés solubles,Café au lait en poudre soluble",,,,"Nescafé Classic Nestlé Boissons et préparations de boissons,Aliments et boissons à base de végétaux,Boissons,Aliments d'origine végétale,Préparations pour boissons,Cafés,Boissons instantanées,Café Arabica,Cafés solubles,Café au lait en poudre soluble   ",8
Jamila رايبي,Danone,"Beverages and beverages preparations,Beverages,Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Dairy drinks,Fermented dairy desserts,Fermented drinks,Fermented dairy desserts with fruits,Fermented milk drinks,Yogurts,Fruit yogurts,Yogurt drinks",,,,"Jamila رايبي Danone Beverages and beverages preparations,Beverages,Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Dairy drinks,Fermented dairy desserts,Fermented drinks,Fermented dairy desserts with fruits,Fermented milk drinks,Yogurts,Fruit yogurts,Yogurt drinks   ",2
Eau,Aïn lfrane,"Boissons,Eaux,Eaux de sources,Eaux minérales,Eaux minérales naturelles",,,,"Eau Aïn lfrane Boissons,Eaux,Eaux de sources,Eaux minérales,Eaux minérales naturelles   ",8
Aquafina 50cl,Aquafina,"Boissons,Eaux,Eaux de table",,,,"Aquafina 50cl Aquafina Boissons,Eaux,Eaux de table   ",8
sauce tomate cuisinée,solis,Sauces tomate,,,,sauce tomate cuisinée solis Sauces tomate   ,6
Coke Zero,Coca-Cola,"Bebidas y preparaciones de bebidas,Bebidas,Bebidas carbonatadas,Bebidas endulzadas artificialmente,Sodas,Bebidas light,Bebidas no alcohólicas,Bebidas de cola,Sodas light,Bebida de cola light",,,,"Coke Zero Coca-Cola Bebidas y preparaciones de bebidas,Bebidas,Bebidas carbonatadas,Bebidas endulzadas artificialmente,Sodas,Bebidas light,Bebidas no alcohólicas,Bebidas de cola,Sodas light,Bebida de cola light   ",9
Sable coco Henry s 42g,Henry's,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits sablés,Sablés à la noix de coco",,,,"Sable coco Henry s 42g Henry's Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits sablés,Sablés à la noix de coco   ",1
Geröstete Mandel Ohne Zucker,alpro,"en:Beverages and beverages preparations,Alimentos e bebidas à base de plantas,Bebidas,Alimentos à base de plantas,en:Dairy substitutes,Substitutos do leite,Nozes e seus produtos,Bebidas à base de plantas,Leites de planta,Leites de frutos secos,Bebidas de amêndoa",,,,"Geröstete Mandel Ohne Zucker alpro en:Beverages and beverages preparations,Alimentos e bebidas à base de plantas,Bebidas,Alimentos à base de plantas,en:Dairy substitutes,Substitutos do leite,Nozes e seus produtos,Bebidas à base de plantas,Leites de planta,Leites de frutos secos,Bebidas de amêndoa   ",9
Aïn Atlas 50cl,Aïn Atlas,"Boissons,Eaux,Eaux de sources,Eaux minérales",,,,"Aïn Atlas 50cl Aïn Atlas Boissons,Eaux,Eaux de sources,Eaux minérales   ",8
,"Alesto Selection, Alesto","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Fruits à coques et dérivés,Fruits à coques,Mélanges de fruits à coque",,,," Alesto Selection, Alesto Aliments et boissons à base de végétaux,Aliments d'origine végétale,Fruits à coques et dérivés,Fruits à coques,Mélanges de fruits à coque   ",8
Oat Drink Barista Edition,Oatly,"Beverages and beverages preparations, Plant-based foods and beverages, Beverages, Plant-based foods, Cereals and potatoes, Dairy substitutes, Cereals and their products, Milk substitutes, Plant-based beverages, Plant-based milk alternatives, Cereal-based drinks, Oat-based drinks",,,,"Oat Drink Barista Edition Oatly Beverages and beverages preparations, Plant-based foods and beverages, Beverages, Plant-based foods, Cereals and potatoes, Dairy substitutes, Cereals and their products, Milk substitutes, Plant-based beverages, Plant-based milk alternatives, Cereal-based drinks, Oat-based drinks   ",5
Lait U.H.T entier,Dost,"Produits laitiers, Laits, Laits homogénéisés, Laits UHT, Laits entiers, Laits de vache",,,,"Lait U.H.T entier Dost Produits laitiers, Laits, Laits homogénéisés, Laits UHT, Laits entiers, Laits de vache   ",7
margarine la prairie 225g,la Prairie,"Plant-based foods and beverages, Plant-based foods, Fats, Spreads, Plant-based spreads, Spreadable fats, Vegetable fats, Margarines, en:salted-spreads",,,,"margarine la prairie 225g la Prairie Plant-based foods and beverages, Plant-based foods, Fats, Spreads, Plant-based spreads, Spreadable fats, Vegetable fats, Margarines, en:salted-spreads   ",5
Cerneaux de Noix,Alesto,"Biljne hrane i pića,Hranu biljnog podrijetla,Orasi i njihovi proizvodi,Orašasti plodovi,Oljušteni orasi,Orasi,Jezgre oraha",,,,"Cerneaux de Noix Alesto Biljne hrane i pića,Hranu biljnog podrijetla,Orasi i njihovi proizvodi,Orašasti plodovi,Oljušteni orasi,Orasi,Jezgre oraha   ",9
Biscuits croquants au coeur onctueux de Nutella®,nutella,"Biscoitos recheados, en:Biscuits/Cookies (Shelf Stable)",,,,"Biscuits croquants au coeur onctueux de Nutella® nutella Biscoitos recheados, en:Biscuits/Cookies (Shelf Stable)   ",9
Tartine croustillante Authentique,wasa,"Aliments d'origine végétale,Snacks,Céréales et pommes de terre,Pains,Pains croustillants,Petit-déjeuners",,,,"Tartine croustillante Authentique wasa Aliments d'origine végétale,Snacks,Céréales et pommes de terre,Pains,Pains croustillants,Petit-déjeuners   ",4
Excellence Noir Intense 70% Cacao,Lindt,"Produits fermentés,Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs,Chocolats noirs en tablette,Chocolat noir en tablette extra dégustation à 70% de cacao minimum",,,,"Excellence Noir Intense 70% Cacao Lindt Produits fermentés,Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs,Chocolats noirs en tablette,Chocolat noir en tablette extra dégustation à 70% de cacao minimum   ",9
Familia 200g,,"Aliments et boissons à base de végétaux, Produits laitiers, Aliments d'origine végétale, Matières grasses, Produits à tartiner, Pâtes à tartiner végétales, Matières grasses à tartiner, Matières grasses végétales, Matières grasses animales, Matière grasse laitière, en:dairy-spread, Margarines, Beurres",,,,"Familia 200g  Aliments et boissons à base de végétaux, Produits laitiers, Aliments d'origine végétale, Matières grasses, Produits à tartiner, Pâtes à tartiner végétales, Matières grasses à tartiner, Matières grasses végétales, Matières grasses animales, Matière grasse laitière, en:dairy-spread, Margarines, Beurres   ",7
Star vinaigre de table BLANC,Star,"Condiments,Vinaigres,Vinaigres blancs",,,,"Star vinaigre de table BLANC Star Condiments,Vinaigres,Vinaigres blancs   ",9
,Gervais,"Dairies,Fermented foods,Fermented milk products,Cheeses,Desserts,Dairy desserts,Fermented dairy desserts,Fromages blancs - petit suisses and skyr,Plain fermented dairy desserts,Fresh cheeses,fr:Fromages blancs,fr:Fromages blancs natures",,,," Gervais Dairies,Fermented foods,Fermented milk products,Cheeses,Desserts,Dairy desserts,Fermented dairy desserts,Fromages blancs - petit suisses and skyr,Plain fermented dairy desserts,Fresh cheeses,fr:Fromages blancs,fr:Fromages blancs natures   ",2
Nocciolata,Rigoni Di Asiago,"Petit-déjeuners,Produits à tartiner,Produits à tartiner sucrés,Pâtes à tartiner,Pâtes à tartiner aux noisettes,Pâtes à tartiner au chocolat,Pâtes à tartiner aux noisettes et au cacao",,,,"Nocciolata Rigoni Di Asiago Petit-déjeuners,Produits à tartiner,Produits à tartiner sucrés,Pâtes à tartiner,Pâtes à tartiner aux noisettes,Pâtes à tartiner au chocolat,Pâtes à tartiner aux noisettes et au cacao   ",7
Pâte à tartiner noisettes et cacao,Bonne Maman,"Breakfasts,Spreads,Sweet spreads,fr:Pâtes à tartiner,Hazelnut spreads,Chocolate spreads,Cocoa and hazelnuts spreads",,,,"Pâte à tartiner noisettes et cacao Bonne Maman Breakfasts,Spreads,Sweet spreads,fr:Pâtes à tartiner,Hazelnut spreads,Chocolate spreads,Cocoa and hazelnuts spreads   ",7
Weetabix,Weetabix,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals",,,,"Weetabix Weetabix Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals   ",5
Lightly sea salted crisps,Tyrrell's,"Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Salty snacks,Appetizers,Chips and fries,Crisps,Potato crisps,Potato crisps in sunflower oil,fr:Chips de pommes de terre classiques",,,,"Lightly sea salted crisps Tyrrell's Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Salty snacks,Appetizers,Chips and fries,Crisps,Potato crisps,Potato crisps in sunflower oil,fr:Chips de pommes de terre classiques   ",5
Dark chocolate,Green and black,"Snacks,Snacks sucrés,Cacao et dérivés,Confiseries,Confiseries chocolatées,Chocolats,Chocolats noirs",,,,"Dark chocolate Green and black Snacks,Snacks sucrés,Cacao et dérivés,Confiseries,Confiseries chocolatées,Chocolats,Chocolats noirs   ",9
Eau Minérale Naturelle,Volvic,"beverages-and-beverages-preparations, beverages, waters, spring-waters, mineral-waters, natural-mineral-waters, getränke, de:mineralwasser, natürliches-mineralwasser, de:quellwasser, de:wasser",,,,"Eau Minérale Naturelle Volvic beverages-and-beverages-preparations, beverages, waters, spring-waters, mineral-waters, natural-mineral-waters, getränke, de:mineralwasser, natürliches-mineralwasser, de:quellwasser, de:wasser   ",9
